Code,Country,malariaCases,allMalariaDeaths,deathsUnderFive,bedNets,treatment
12,Algeria,1,0,0,,
24,Angola,18251,101,90,25.9,28.3
204,Benin,28854,80,66,72.7,25.9
72,Botswana,72,0,0,,
854,Burkina Faso,34022,103,92,75.3,49.2
108,Burundi,16722,64,45,53.8,25.4
120,Cameroon,19943,65,50,21,23.1
132,Cape Verde,78,0,0,,
140,Central African Republic,35357,115,108,36.4,34.1
148,Chad,29620,153,140,9.8,42.7
174,Comoros,22989,70,41,41.1,26.7
178,Republic of the Congo,34586,104,88,26.3,25
384,Ivory Coast,20666,71,59,37.2,17.5
180,Democratic Republic of the Congo,26267,107,99,55.8,29.2
262,Djibouti,9771,28,13,,
818,Egypt,,,,,
226,Equatorial Guinea,24447,69,52,23,33.2
232,Eritrea,1507,4,1,20.4,1.5
231,Ethiopia,13467,48,19,30.1,26.3
266,Gabon,25114,67,36,38.8,25.9
270,Gambia,29030,84,60,47.2,6.7
288,Ghana,27201,67,43,46.6,52.6
324,Guinea,38424,105,97,26,28.1
624,Guinea-Bissau,28253,96,83,80.6,28
404,Kenya,14475,50,20,54.1,27
426,Lesotho,,,,,
430,Liberia,28637,69,56,38.1,55.7
434,Libya,,,,,
450,Madagascar,8971,41,22,61.5,11.3
454,Malawi,27662,63,40,65.5,39.1
466,Mali,21260,92,84,45.6,31.9
478,Mauritania,23691,67,36,18.4,19.7
480,Mauritius,,,,,
504,Morocco,,,,,
508,Mozambique,27774,71,60,35.7,29.9
516,Namibia,33,0,0,5.6,8.4
562,Niger,33109,131,120,20.1,19.2
566,Nigeria,28430,107,100,25.4,27.3
646,Rwanda,5673,33,9,,
678,Sao Tome and Principe,12228,43,15,,
686,Senegal,28250,59,38,43.2,6.7
690,Seychelles,,,,,
694,Sierra Leone,18399,109,95,49,48.3
706,Somalia,7501,33,16,,
710,South Africa,464,2,1,,
999,South Sudan,29527,55,18,45.8,31.9
736,Sudan,,,,,
748,Swaziland,308,1,0,1.5,1.7
768,Togo,24086,83,61,42.8,18.3
788,Tunisia,,,,,
800,Uganda,25776,58,39,42.8,64.5
834,Tanzania,19959,50,23,72,53.7
732,Western Sahara,,,,,
894,Zambia,26650,79,59,40.6,39.9
716,Zimbabwe,16905,18,7,26.8,3
555,Somaliland,,,,,
